trimestre,txa_variacao_pib
1996Q1,2.5
1996Q2,2.1
1996Q3,2.3
1996Q4,2.2
1997Q1,3.2
1997Q2,4.0
1997Q3,3.0
1997Q4,3.4
1998Q1,2.8
1998Q2,2.0
1998Q3,1.6
1998Q4,0.3
1999Q1,0.3
1999Q2,-0.2
1999Q3,-0.4
1999Q4,0.5
2000Q1,1.3
2000Q2,2.4
2000Q3,3.8
2000Q4,4.4
2001Q1,4.2
2001Q2,3.7
2001Q3,2.7
2001Q4,1.4
2002Q1,0.7
2002Q2,0.7
2002Q3,1.6
2002Q4,3.1
2003Q1,3.6
2003Q2,3.2
2003Q3,2.3
2003Q4,1.1
2004Q1,1.4
2004Q2,2.8
2004Q3,4.3
2004Q4,5.8
2005Q1,5.8
2005Q2,5.4
2005Q3,4.2
2005Q4,3.2
2006Q1,3.2
2006Q2,2.7
2006Q3,3.3
2006Q4,4.0
2007Q1,4.2
2007Q2,5.3
2007Q3,5.6
2007Q4,6.1
2008Q1,6.3
2008Q2,6.3
2008Q3,6.5
2008Q4,5.1
2009Q1,3.0
2009Q2,0.8
2009Q3,-1.2
2009Q4,-0.1
2010Q1,2.6
2010Q2,5.3
2010Q3,7.5
2010Q4,7.5
2011Q1,6.6
2011Q2,5.6
2011Q3,4.8
2011Q4,4.0
2012Q1,3.1
2012Q2,2.2
2012Q3,1.9
2012Q4,1.9
2013Q1,2.2
2013Q2,2.9
2013Q3,3.0
2013Q4,3.0
2014Q1,3.2
2014Q2,2.1
2014Q3,1.2
2014Q4,0.5
2015Q1,-0.7
2015Q2,-1.3
2015Q3,-2.2
2015Q4,-3.5
2016Q1,-4.4
2016Q2,-4.5
2016Q3,-4.1
2016Q4,-3.3
2017Q1,-1.9
2017Q2,-0.9
2017Q3,0.1
2017Q4,1.3
2018Q1,1.7
2018Q2,1.9
2018Q3,2.0
2018Q4,1.8
2019Q1,1.5
2019Q2,1.4
2019Q3,1.2
2019Q4,1.2
2020Q1,1.1
2020Q2,-1.7
2020Q3,-2.8
2020Q4,-3.3
2021Q1,-2.9
2021Q2,2.4
2021Q3,4.3
2021Q4,4.8
2022Q1,4.7
2022Q2,2.7
2022Q3,2.7
2022Q4,3.0
2023Q1,3.8
2023Q2,3.8
2023Q3,3.3
2023Q4,3.2
2024Q1,2.8
2024Q2,2.7
2024Q3,3.1
2024Q4,3.4
2025Q1,3.6
2025Q2,3.3
2025Q3,2.7
2025Q4,2.3
